algo,seed,backbone,stage,rel_spread,eff_rank,cos_raw,n_cols_nonconst,n_cols_varying,relstd_ch_gain,relstd_sinr_embb,relstd_sinr_urllc,relstd_q_embb,relstd_urllc_backlog,relstd_viol_ewma,relstd_prev_alloc_lag2,relstd_prev_alloc
gnn-mappo_gat,44,gat,conv2,3.2608602371006174e-07,3.426986254583174,0.9999999999998892,,,,,,,,,,
gnn-mappo_gat,45,gat,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_gat,45,gat,conv1_pre,0.00033707702645361206,3.0090367328006655,0.999999865696551,,,,,,,,,,
gnn-mappo_gat,45,gat,conv1_act,0.0003260526766119287,3.021349690514949,0.9999998718358304,,,,,,,,,,
gnn-mappo_gat,45,gat,conv2,3.0509928620970434e-07,3.281150406724948,0.9999999999999357,,,,,,,,,,
gnn-mappo_gat,46,gat,input,0.4286731646531786,2.672180665506325,0.7955492280642946,6.0,6.0,0.056637930451150405,0.9984162420767653,0.8493915183987032,2.0,0.8164994070984832,1.2704361590233957,0.0,0.0
gnn-mappo_gat,46,gat,conv1_pre,0.011127736074120868,2.7076837171868258,0.9998480762639061,,,,,,,,,,
gnn-mappo_gat,46,gat,conv1_act,0.010800485616761175,2.7393597170841595,0.9998567320102376,,,,,,,,,,
gnn-mappo_gat,46,gat,conv2,0.00036754537815371536,1.9529109077080429,0.9999999490601776,,,,,,,,,,
gnn-mappo_gat,47,gat,input,0.370573355885737,3.4012264388811864,0.8443929039128026,6.0,6.0,0.056637930451150405,0.6767178422412677,1.1403731837767093,1.2249664772172766,1.2270661056280536,2.0,0.0,0.0
gnn-mappo_gat,47,gat,conv1_pre,0.0015079131315448024,3.399209318246628,0.9999972720815192,,,,,,,,,,
gnn-mappo_gat,47,gat,conv1_act,0.0014962337285027813,3.378898989224506,0.9999973531860867,,,,,,,,,,
gnn-mappo_gat,47,gat,conv2,8.649855502481796e-06,2.7883674900597977,0.9999999999563061,,,,,,,,,,
gnn-mappo_gat,48,gat,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_gat,48,gat,conv1_pre,0.00043597943831188713,2.931819889628238,0.9999997659566233,,,,,,,,,,
gnn-mappo_gat,48,gat,conv1_act,0.0004131027479419882,2.93649104335739,0.9999997889882403,,,,,,,,,,
gnn-mappo_gat,48,gat,conv2,2.3036712063492444e-07,3.116743398180144,0.9999999999999476,,,,,,,,,,
gnn-mappo_gat,49,gat,input,0.4111328680203503,3.4015653134861106,0.8115109304415551,6.0,6.0,0.056637930451150405,0.8493915183987032,0.9984162420767653,1.2287642989207637,1.2247715624196747,2.0,0.0,0.0
gnn-mappo_gat,49,gat,conv1_pre,0.006800541062389118,3.6436508260852714,0.9999482116895553,,,,,,,,,,
gnn-mappo_gat,49,gat,conv1_act,0.006705751656724126,3.6398360679438753,0.9999492641914575,,,,,,,,,,
gnn-mappo_gat,49,gat,conv2,0.00022170840828650455,2.1487046255450757,0.9999999959936117,,,,,,,,,,
gnn-mappo_gat,50,gat,input,0.3475972134154775,3.366989015049721,0.8625416944578493,6.0,6.0,0.056637930451150405,0.5623891123326162,1.2108601679130748,1.2247515489422747,1.237045761560668,2.0,0.0,0.0
gnn-mappo_gat,50,gat,conv1_pre,0.001729191306307151,3.3298811893650564,0.999996499230001,,,,,,,,,,
gnn-mappo_gat,50,gat,conv1_act,0.0015747768594460865,3.3700647744604035,0.9999970734330705,,,,,,,,,,
gnn-mappo_gat,50,gat,conv2,3.102663343395934e-07,3.42041210692779,0.999999999999929,,,,,,,,,,
gnn-mappo_gat,51,gat,input,0.41107801695999574,3.4010209499521142,0.8115934125486696,6.0,6.0,0.056637930451150405,0.8493915183987032,0.9984162420767653,1.2287661071242915,1.224782609540694,2.0,0.0,0.0
gnn-mappo_gat,51,gat,conv1_pre,0.001257374914136224,2.9780945654780644,0.999998028751448,,,,,,,,,,
gnn-mappo_gat,51,gat,conv1_act,0.0011992744117227286,3.010805654185057,0.9999982062913848,,,,,,,,,,
gnn-mappo_gat,51,gat,conv2,4.0854610314296867e-07,3.132695467197885,0.9999999999998093,,,,,,,,,,
gnn-mappo_gat,52,gat,input,0.11228934056414681,1.9811496826475667,0.9843601693582379,5.0,4.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,2.0,0.002900662719274313,0.0,0.0,0.0
gnn-mappo_gat,52,gat,conv1_pre,0.0009359845081596934,2.5606034849299406,0.9999989142318093,,,,,,,,,,
gnn-mappo_gat,52,gat,conv1_act,0.0009433706652693369,2.5655958150061005,0.9999989094877126,,,,,,,,,,
gnn-mappo_gat,52,gat,conv2,1.4735973402198405e-05,1.8479844496382847,0.9999999997331711,,,,,,,,,,
gnn-mappo_gat,53,gat,input,0.15192335028411647,2.6697896470194626,0.9715873529474661,6.0,6.0,0.056637930451150405,1.2817286561601033,0.013079782590982506,1.3457198023566754,0.10289370962408428,1.087771704299649,0.0,0.0
gnn-mappo_gat,53,gat,conv1_pre,0.005478699221771942,2.9363385219622447,0.9999627399730227,,,,,,,,,,
gnn-mappo_gat,53,gat,conv1_act,0.00538645725192385,2.937001237754582,0.9999643180954468,,,,,,,,,,
gnn-mappo_gat,53,gat,conv2,0.0001536678586588299,1.5300206436463257,0.999999976711571,,,,,,,,,,
