algo,family,backbone,algo_family,n_rows,final_step,steps_per_row,budget_target,reward_per_step_final_mean,reward_per_step_final_std,reward_per_episode_equiv,peak_ma_reward_per_step,peak_step,final_ma_reward_per_step,degradation,trend_label,slope_last25pct,convergence_step,embb_mbps_mean,spectral_eff_bps_hz,embb_p5_mbps,urllc_delay_ms_mean,urllc_delay_p95,urllc_delay_p99,urllc_drop_late_pct,urllc_drop_overflow_pct,sla_satisfaction_pct,timely_throughput_mbps,jains_fairness,lam_final,flag_urllc_starving,flag_low_sla,flag_degraded
gnn-madqn_gat,proposed,gat,dqn,1000,199999,200.0,200000,1.0490595150000002,0.4252017804740677,209.81190300000003,1.301827,76999,1.137196335,0.164630665,plateau,6.656826995631898e-07,1599,7.419911110000002,0.7419910700000001,1.6887431499999999,0.95869004,4.69,5.4,2.35315609,4.4893217,93.15752218999998,29.628417809999995,0.60442207,0.9325302200000002,False,False,True
gnn-madqn_gat,proposed,gat,dqn,1000,199999,200.0,200000,1.0336698,0.41427681087187945,206.73396,1.306176,76799,1.1367028250000002,0.1694731749999998,improving,3.555890961455381e-06,1199,7.320989419999998,0.7320989800000001,1.4271969899999999,1.02245007,4.66,5.36,2.29974406,4.295335830000001,93.40492012,29.703719199999995,0.60801744,0.9338605299999999,False,False,True
gnn-madqn_sage_floornone,proposed,sage,dqn,1000,199999,200.0,200000,0.9923829800000001,0.464578034815815,198.47659600000003,1.275616,199,1.10135127,0.17426472999999998,improving,1.1087295291124626e-06,399,7.380946900000001,0.7380947299999999,1.59718856,0.9896586700000001,5.19,6.3702,4.291604230000001,6.86060483,88.84779093000002,28.220996990000003,0.61602083,1.01798331,False,True,True
gnn-madqn_sage_floornone,proposed,sage,dqn,1000,199999,200.0,200000,0.978180115,0.4191583704781932,195.636023,1.2558369999999999,77399,1.0777451449999997,0.17809185500000013,improving,3.3224307521720327e-06,20399,7.2695808799999995,0.7269581400000001,1.7089565799999997,1.12846754,5.73,6.92,4.22435786,7.434485100000002,88.34115701,28.04885278,0.6093045099999999,0.9710160399999999,False,True,True
gnn-madqn_sage_floornone,proposed,sage,dqn,1000,199999,200.0,200000,1.01345699,0.46015248344825316,202.691398,1.214427,72999,1.094334165,0.1200928349999999,improving,1.7602146997551925e-06,1799,7.56447862,0.75644791,1.6789527499999999,1.5329479999999998,6.47,7.43,3.83644403,8.55215726,87.61139874,27.7875681,0.60304958,0.99345629,False,True,True
gnn-madqn_sage_floornone,proposed,sage,dqn,1000,199999,200.0,200000,1.0194485349999998,0.42647945240870777,203.88970699999996,1.188634,63999,1.0774488549999999,0.1111851450000001,improving,1.2606813113809795e-06,1399,7.3643366000000015,0.7364336699999998,1.72499719,0.8809658699999998,4.91,6.27,2.9613577399999995,5.60717874,91.43146353,29.091590970000002,0.6098729399999999,1.00121782,False,False,True
gnn-madqn_sage_floornone,proposed,sage,dqn,1000,199999,200.0,200000,0.9343736799999998,0.4350263604616651,186.87473599999996,1.187128,1399,1.01988721,0.16724078999999992,plateau,-7.50981931550908e-07,199,7.183137449999999,0.71831373,1.6033530899999997,1.2863632699999998,5.57,7.1903,5.990220189999999,8.67569162,85.33408816,27.077739479999995,0.61336607,0.97767047,False,True,True
gnn-madqn_sage_floorstatic,proposed,sage,dqn,1000,199999,200.0,200000,1.0355987,0.45020729135150617,207.11974,1.274559,77599,1.1143960000000002,0.16016299999999983,improving,2.500923152690441e-06,399,7.521974390000001,0.7521974699999998,1.5107396499999999,0.9303345800000001,5.01,6.1,3.14193962,6.16477047,90.69328992000001,28.826909550000003,0.6100107699999999,0.9670227999999998,False,False,True
gnn-madqn_sage_floorstatic,proposed,sage,dqn,1000,199999,200.0,200000,1.0258774349999997,0.461690767922793,205.17548699999995,1.269453,77399,1.11853226,0.1509207399999999,improving,1.6705229520472305e-06,19999,7.67378158,0.7673782000000001,1.70474395,1.6138328300000004,6.68,7.68,4.118620599999999,9.15548655,86.7258928,27.483396680000002,0.59848407,0.9632075799999998,False,True,True
gnn-madqn_sage_floorstatic,proposed,sage,dqn,1000,199999,200.0,200000,1.0135515200000003,0.46784870372485765,202.71030400000006,1.2304935000000001,31599,1.0484055150000002,0.1820879849999999,plateau,-6.281686305380919e-07,1799,7.56711765,0.75671178,1.6604114400000003,1.5663258,6.31,7.33,3.9966087900000002,8.878761939999999,87.12462925,27.639129870000005,0.60020461,0.9638509099999999,False,True,True
gnn-madqn_sage_floorstatic,proposed,sage,dqn,1000,199999,200.0,200000,1.0287376499999998,0.4387812030718471,205.74752999999995,1.310071,76999,1.11680204,0.19326895999999993,improving,1.6079497892766242e-06,1599,7.523049970000001,0.7523050600000001,1.7209090900000001,1.15082232,5.72,6.74,3.30162248,6.919845050000001,89.77853252999998,28.52353108,0.6024096800000001,0.96428951,False,True,True
gnn-madqn_sage_floorstatic,proposed,sage,dqn,1000,199999,200.0,200000,0.984118375,0.43068902619465693,196.823675,1.2816139999999998,76799,1.0913963599999998,0.19021763999999997,improving,1.7661371986751756e-06,999,7.30642752,0.73064279,1.65600712,1.3366042800000002,6.09,7.36,3.61157512,7.830964369999999,88.55746051999999,28.10437412,0.61024521,0.9684839599999998,False,True,True
gnn-madqn_sage,proposed,sage,dqn,1000,199999,200.0,200000,1.0745847350000002,0.4442115390759703,214.91694700000005,1.3114340000000002,77399,1.1178175449999999,0.19361645500000035,plateau,9.960560111361744e-07,19999,7.57837902,0.7578379,1.6128903499999998,1.05841943,4.58,5.17,2.26764074,4.343447229999999,93.38891203000003,29.681890399999993,0.6000281199999999,0.9335193599999999,False,False,True
gnn-madqn_sage,proposed,sage,dqn,1000,199999,200.0,200000,1.0281762399999999,0.4808724806429376,205.63524799999996,1.3046215,77199,1.1445823600000002,0.16003913999999986,plateau,9.460661104977647e-07,29799,7.291904339999999,0.7291904300000001,1.5356857699999997,1.02793251,4.64,5.2096,2.30749557,4.36464376,93.32786073,29.675045519999998,0.61852208,0.9320004399999999,False,False,True
gnn-madqn_sage,proposed,sage,dqn,1000,199999,200.0,200000,1.0464655800000002,0.48204768178765117,209.29311600000005,1.3261744999999998,76999,1.148435645,0.17773885499999986,improving,2.432720319685111e-06,19999,7.39351578,0.7393515899999998,1.5730860000000002,1.00766417,4.57,5.31,2.27145652,4.2080936300000005,93.52044983999998,29.740709309999996,0.61055134,0.9323256900000001,False,False,True
gnn-madqn_sage,proposed,sage,dqn,1000,199999,200.0,200000,1.04658114,0.4327672239664129,209.316228,1.288516,76799,1.14596778,0.1425482199999999,improving,3.023150374885996e-06,1199,7.411521520000001,0.7411521999999999,1.6885066599999998,0.98138939,4.88,5.47,2.44330487,4.549081510000001,93.00761361,29.581238090000003,0.6020067499999999,0.93420499,False,False,True
gnn-mappo_gat_floornone,proposed,gat,ppo,1953,999935,512.0,1000000,1.2019031380208334,0.3128641583910598,240.38062760416668,1.287171484375,436223,1.2017566035657052,0.08541488080929471,plateau,-2.1987446344660528e-07,3583,8.281680856410256,0.8281680871794871,5.3230769230769235e-06,0.8340132461538462,4.066666666666666,7.364102564102564,0.7811578051282051,2.313723353846154,96.90511886666668,30.85462365128205,0.5313522307692308,0.606533882051282,False,False,True
gnn-mappo_gat_floornone,proposed,gat,ppo,1953,999935,512.0,1000000,1.1695026602564103,0.2934440686124644,233.90053205128206,1.286514453125,436735,1.1781526021634616,0.10836185096153828,degrading,-2.8878979199411727e-07,3583,8.058845533333333,0.805884523076923,0.22583805641025637,0.6868315333333332,3.841025641025641,7.3166153846153845,0.9086896820512821,2.308423692307692,96.78288668205128,30.844997158974362,0.5528414923076923,0.5953950717948718,False,False,True
gnn-mappo_gat_floornone,proposed,gat,ppo,1953,999935,512.0,1000000,1.1969326462339742,0.3109824382973716,239.38652924679485,1.2600173828125,435711,1.1867433022836538,0.07327408052884632,plateau,-1.4902176490341642e-07,3583,8.147975476923076,0.8147975794871795,1.3607794564102564,0.9671628564102563,4.123076923076923,7.167333333333334,0.5144280564102564,1.9327843794871797,97.55278759487179,31.04063208205128,0.5701633282051282,0.5763422153846154,False,False,True
gnn-mappo_gat_floornone,proposed,gat,ppo,1953,999935,512.0,1000000,1.1967194501201923,0.30755766311740496,239.34389002403847,1.32354296875,436223,1.1835945512820514,0.13994841746794862,plateau,3.968026383498606e-08,3071,8.193135430769232,0.8193135435897436,0.0009629589743589743,0.7649126512820513,3.7897435897435896,7.0468717948717945,0.7046244871794871,2.017136164102564,97.27823935384616,30.98977896923077,0.546798358974359,0.5830235948717949,False,False,True
gnn-mappo_gat_floornone,proposed,gat,ppo,1953,999935,512.0,1000000,1.1869887580128204,0.30851738762482633,237.39775160256409,1.2693544921875,435199,1.1906210376602564,0.07873345452724356,plateau,-1.240735145753955e-07,1535,8.182982584615385,0.818298246153846,6.523076923076923e-06,0.6299530102564103,3.882051282051282,7.507692307692308,1.1123095641025642,2.5917680666666665,96.2959223897436,30.691900117948723,0.5414838717948717,0.6187433435897436,False,False,True
gnn-mappo_gat_floorstatic,proposed,gat,ppo,1953,999935,512.0,1000000,1.1982385216346152,0.32150639663533126,239.64770432692305,1.256473046875,436223,1.1911461318108976,0.06532691506410249,plateau,-1.5503943699690133e-08,4095,8.361056348717948,0.8361056769230769,0.0674433846153846,0.7492214205128205,4.805128205128205,7.938461538461539,1.572310394871795,3.487450364102564,94.94023921538461,30.239410989743593,0.5159436564102564,0.6520964923076923,False,False,True
gnn-mappo_gat_floorstatic,proposed,gat,ppo,1953,999935,512.0,1000000,1.161947904647436,0.28569547454331057,232.38958092948718,1.2760701171875,436735,1.1591680608974357,0.11690205629006423,plateau,-2.0493465011882673e-07,3583,8.07818961025641,0.8078189794871794,6.712820512820513e-06,0.5624303230769231,3.809230769230769,7.743589743589744,1.4041274871794869,2.9265202974358977,95.66935218974358,30.505259728205125,0.5369608205128205,0.6605244717948718,False,False,True
gnn-mappo_gat_floorstatic,proposed,gat,ppo,1953,999935,512.0,1000000,1.195983462540064,0.3150906395281046,239.1966925080128,1.281943359375,435711,1.191051351161859,0.09089200821314103,plateau,-1.4556229785476052e-07,3583,8.277137020512821,0.8277136615384615,4.841025641025641e-06,0.6562247897435897,4.415384615384616,7.994871794871795,1.523705092307692,3.249225169230769,95.22706976410257,30.34712996923077,0.5337846102564102,0.646051805128205,False,False,True
gnn-mappo_gat_floorstatic,proposed,gat,ppo,1953,999935,512.0,1000000,1.1859622365785256,0.3014518977201932,237.19244731570512,1.2585,436223,1.1767915665064101,0.0817084334935898,degrading,-3.0081915826815653e-07,3071,8.255121548717948,0.8255121692307694,3.3692307692307695e-06,0.5739226923076923,3.9384615384615387,7.4051282051282055,1.3770785538461539,2.9434361846153845,95.67948532820513,30.503624938461535,0.49680467692307695,0.6458664256410256,False,False,True
gnn-mappo_gat_floorstatic,proposed,gat,ppo,1953,999935,512.0,1000000,1.202627686298077,0.31583630473377733,240.5255372596154,1.2595892578125,95743,1.1902901642628205,0.06929909354967956,plateau,-1.0182433638404552e-07,1535,8.349879887179487,0.8349879948717948,0.017320866666666667,0.7344167128205127,4.5948717948717945,8.138461538461538,1.5474122205128205,3.308743353846154,95.14384438974356,30.31009583589743,0.5225429333333333,0.6472009025641026,False,False,True
gnn-mappo_gat,proposed,gat,ppo,1953,999935,512.0,1000000,1.1630579897836537,0.3053219726773686,232.61159795673075,1.263200390625,436735,1.1537614793669873,0.10943891125801275,plateau,-1.3045718956052793e-07,3583,8.007163435897436,0.800716358974359,0.7126833333333333,0.6047167282051283,4.302564102564102,7.825641025641025,1.4929425897435895,3.346483615384616,95.16057377948718,30.33917513846154,0.5643021948717949,0.6386933743589743,False,False,True
gnn-mappo_gat,proposed,gat,ppo,1953,999935,512.0,1000000,1.1965797516025642,0.31703840096324837,239.31595032051285,1.259919921875,96255,1.1943557932692308,0.0655641286057691,plateau,9.929173389619004e-08,3583,8.268950348717949,0.8268950358974358,4.851282051282052e-06,0.6595103794871795,4.553846153846154,7.394871794871795,1.2670797846153845,2.97847898974359,95.75444124615383,30.519468189743595,0.5310324769230769,0.6454764820512822,False,False,True
gnn-mappo_gat,proposed,gat,ppo,1953,999935,512.0,1000000,1.1665766826923076,0.30804006759918123,233.31533653846154,1.2474654296875,436223,1.1646374669471153,0.08282796274038473,plateau,-1.9613228353084078e-08,3071,8.051578958974359,0.8051579179487179,0.2089786717948718,0.6013394820512821,4.276923076923077,7.420512820512821,1.397970164102564,3.1809847435897436,95.42104510256412,30.420304712820514,0.5560980307692308,0.6395604051282051,False,False,True
