step,episode,ep_reward,loss
219135,1095,112.1783,4.039583
219647,1098,-167.5166,225.345215
220159,1100,153.2534,16.716131
220671,1103,64.5942,2.057185
221183,1105,178.9223,14.681426
221695,1108,-164.4348,84.883202
222207,1111,-70.7682,104.565567
222719,1113,102.1275,5.601085
223231,1116,426.5829,126.257439
223743,1118,155.507,9.087855
224255,1121,218.1013,17.740318
224767,1123,206.9925,17.721611
225279,1126,128.3297,7.472821
225791,1128,89.7751,4.254167
226303,1131,145.8937,6.369205
226815,1134,75.426,1.918447
227327,1136,253.5922,34.474964
227839,1139,136.9823,10.159313
228351,1141,48.2991,1.601595
228863,1144,-75.0556,52.944012
229375,1146,-164.087,139.828537
229887,1149,142.6988,34.080601
230399,1152,84.9312,14.787513
230911,1154,320.8139,48.851364
231423,1157,41.6884,1.702941
231935,1159,85.0796,2.504731
232447,1162,-317.2496,212.626968
232959,1164,148.3709,20.790152
233471,1167,237.0698,34.990879
233983,1169,195.7306,29.7521
234495,1172,-261.7779,221.376526
235007,1175,71.3744,1.681839
235519,1177,139.04,10.30063
236031,1180,207.6845,46.412785
236543,1182,-1015.3025,520.830078
237055,1185,-4.6759,47.127281
237567,1187,300.6098,51.85387
238079,1190,90.5287,6.583642
238591,1192,151.3454,8.702448
239103,1195,81.9946,3.604731
239615,1198,137.9897,6.473958
240127,1200,-324.4972,216.161087
240639,1203,-52.302,27.798342
241151,1205,163.6914,11.990662
241663,1208,154.6755,7.623538
242175,1210,80.9124,8.097815
242687,1213,-303.8012,216.449066
243199,1216,341.7422,101.04026
243711,1218,-36.2009,110.748657
244223,1221,-556.2003,289.687012
244735,1223,53.3069,1.237186
245247,1226,164.4621,8.736494
245759,1228,-17.446,34.228436
246271,1231,-267.5564,118.043869
246783,1233,73.1037,2.327003
247295,1236,152.653,13.247345
247807,1239,200.3844,12.997987
248319,1241,108.4917,49.744164
248831,1244,184.6789,11.533013
249343,1246,90.2445,3.271995
249855,1249,153.3614,9.558676
250367,1251,215.0046,21.284908
250879,1254,-116.1851,43.100216
251391,1256,178.1537,15.533178
251903,1259,428.0992,83.371254
252415,1262,38.676,3.254437
252927,1264,-168.1257,135.687012
253439,1267,-500.528,268.313263
253951,1269,159.9364,10.120931
254463,1272,161.4277,6.557683
254975,1274,135.4798,10.700839
255487,1277,69.2846,5.64131
255999,1280,43.3444,8.640602
256511,1282,176.8432,12.345993
257023,1285,62.046,9.352015
257535,1287,-223.826,170.542084
258047,1290,-277.0503,218.5634
258559,1292,-652.7199,381.597412
259071,1295,21.6888,30.274498
259583,1297,178.9914,13.613985
260095,1300,164.9804,13.348883
260607,1303,85.1377,3.692601
261119,1305,68.5799,5.376429
261631,1308,157.6351,17.902025
262143,1310,-670.0807,353.487091
262655,1313,-385.3576,252.936172
263167,1315,165.143,9.050968
