step,episode,ep_reward,loss
473599,2368,-2.9411,
474111,2370,-66.6049,
474623,2373,38.3294,
475135,2375,114.0864,
475647,2378,45.7322,
476159,2380,-74.5111,
476671,2383,121.3323,
477183,2385,-62.8857,
477695,2388,-568.2091,
478207,2391,-566.0351,
478719,2393,-168.1101,
479231,2396,-41.5473,
479743,2398,4.8842,
480255,2401,7.9031,
480767,2403,-97.1199,
481279,2406,-268.0648,
481791,2408,-178.8329,
482303,2411,-117.6219,
482815,2414,14.3085,
483327,2416,-247.6546,
483839,2419,-121.2956,
484351,2421,57.3276,
484863,2424,-51.327,
485375,2426,-2.2527,
485887,2429,-311.1111,
486399,2432,-52.0489,
486911,2434,-525.5958,
487423,2437,-140.023,
487935,2439,-30.195,
488447,2442,-86.5966,
488959,2444,-673.4599,
489471,2447,-490.8706,
489983,2449,46.9914,
490495,2452,-25.7283,
491007,2455,-425.4949,
491519,2457,-36.5752,
492031,2460,0.8973,
492543,2462,71.4148,
493055,2465,-2.3297,
493567,2467,12.9542,
494079,2470,-756.9261,
494591,2472,-215.6871,
495103,2475,105.7325,
495615,2478,71.3594,
496127,2480,-21.3788,
496639,2483,-71.1032,
497151,2485,-93.5256,
497663,2488,-205.3434,
498175,2490,-24.566,
498687,2493,-15.9516,
499199,2496,-354.9655,
499711,2498,-294.8895,
500223,2501,33.8475,
500735,2503,-50.7502,
501247,2506,-412.6572,
501759,2508,144.5814,
502271,2511,120.766,
502783,2513,105.5424,
503295,2516,-235.7266,
503807,2519,-420.3239,
504319,2521,159.2688,
504831,2524,208.3576,
505343,2526,15.981,
505855,2529,25.5737,
506367,2531,63.2464,
506879,2534,-521.5983,
507391,2536,-46.7517,
507903,2539,9.4811,
508415,2542,-114.6438,
508927,2544,9.1257,
509439,2547,74.2714,
509951,2549,-44.9154,
510463,2552,-470.1722,
510975,2554,-288.8609,
511487,2557,62.8761,
511999,2560,94.705,
512511,2562,-379.9433,
513023,2565,22.7781,
513535,2567,-205.3442,
514047,2570,-480.0384,
514559,2572,-491.6404,
515071,2575,65.3894,
515583,2577,-301.862,
516095,2580,-70.0657,
516607,2583,40.0688,
517119,2585,2.1301,
517631,2588,-90.8125,
518143,2590,-273.9102,
518655,2593,6.7304,
519167,2595,-385.108,
519679,2598,-251.3282,
520191,2600,-271.006,
520703,2603,-140.1542,
521215,2606,-95.438,
521727,2608,-197.3778,
522239,2611,-128.9895,
522751,2613,-69.2729,
523263,2616,-407.6534,
523775,2618,12.3488,
524287,2621,-394.5465,
524799,2624,-415.9161,
525311,2626,24.9152,
525823,2629,-11.4218,
526335,2631,-54.3677,
526847,2634,12.4572,
527359,2636,-25.5189,
527871,2639,-72.2266,
528383,2641,9.081,
528895,2644,87.1879,
529407,2647,-475.5728,
529919,2649,-420.9383,
530431,2652,-448.4802,
530943,2654,-320.8241,
531455,2657,-21.1067,
531967,2659,-85.7146,
532479,2662,160.0655,
532991,2664,-345.0429,
533503,2667,71.8901,
534015,2670,-42.6168,
534527,2672,-32.8353,
535039,2675,-202.325,
535551,2677,-397.1083,
536063,2680,93.2606,
536575,2682,-412.9413,
537087,2685,-507.4254,
537599,2688,-146.4612,
538111,2690,9.7142,
538623,2693,77.3014,
539135,2695,-291.6713,
539647,2698,-232.4757,
540159,2700,-535.0151,
540671,2703,-82.3318,
541183,2705,85.959,
541695,2708,-94.3729,
542207,2711,-380.6445,
542719,2713,137.8931,
543231,2716,70.6419,
543743,2718,-315.1962,
544255,2721,-490.4529,
544767,2723,-351.8204,
545279,2726,58.4462,
545791,2728,-44.0713,
546303,2731,46.9158,
546815,2734,184.386,
547327,2736,2.6593,
547839,2739,48.8669,
548351,2741,-71.4573,
548863,2744,77.8239,
549375,2746,196.2578,
549887,2749,49.4493,
550399,2752,-331.7185,
550911,2754,62.6167,
551423,2757,-36.1791,
551935,2759,28.8409,
552447,2762,-63.8131,
552959,2764,147.626,
553471,2767,-333.3579,
553983,2769,103.6935,
554495,2772,66.4011,
555007,2775,-536.6147,
555519,2777,15.9724,
556031,2780,-461.7881,
556543,2782,-69.806,
557055,2785,-66.7023,
557567,2787,48.6799,
558079,2790,-96.2819,
558591,2792,-371.77,
559103,2795,-522.4416,
559615,2798,-214.4655,
560127,2800,-773.7525,
560639,2803,-40.2434,
561151,2805,-41.2347,
561663,2808,9.5722,
562175,2810,-45.1234,
562687,2813,-7.791,
563199,2816,-37.1231,
563711,2818,8.4344,
564223,2821,-34.4907,
564735,2823,64.4446,
565247,2826,-50.046,
565759,2828,-275.0807,
566271,2831,-139.5551,
566783,2833,-247.5857,
567295,2836,8.7937,
567807,2839,-151.5416,
568319,2841,30.1849,
568831,2844,82.0741,
569343,2846,120.2349,
569855,2849,83.6084,
570367,2851,-61.3422,
570879,2854,-46.9676,
571391,2856,66.7978,
571903,2859,-312.6663,
572415,2862,92.0333,
572927,2864,74.5994,
573439,2867,-43.4658,
573951,2869,-492.5405,
574463,2872,-28.3806,
574975,2874,-20.5773,
575487,2877,170.7053,
575999,2880,-308.9349,
576511,2882,-130.4886,
577023,2885,-16.2826,
577535,2887,-253.7866,
578047,2890,-24.793,
578559,2892,91.8997,
579071,2895,-100.1987,
579583,2897,-234.8481,
580095,2900,-481.3074,
580607,2903,-409.038,
581119,2905,40.4331,
581631,2908,-370.6396,
582143,2910,-222.8809,
582655,2913,-376.5605,
583167,2915,138.5829,
583679,2918,66.5554,
584191,2920,160.872,
584703,2923,-129.6862,
585215,2926,-399.1719,
585727,2928,-33.7444,
586239,2931,112.9122,
